DATE,bit_price
8/19/15,227.34
8/20/15,235.56
8/21/15,232.85
8/22/15,231.15
8/23/15,229.21
8/24/15,211.16
8/25/15,223.73
8/26/15,226.81
8/27/15,225.8
8/28/15,231.55
8/29/15,230.61
8/30/15,229.39
8/31/15,230.75
9/1/15,228.22
9/2/15,229.97
9/3/15,227.25
9/4/15,231.39
9/5/15,236.01
9/6/15,241.29
9/7/15,241.31
9/8/15,244.14
9/9/15,238.75
9/10/15,238.52
9/11/15,240.9
9/12/15,236.5
9/13/15,230.82
9/14/15,231.01
9/15/15,230.6
9/16/15,229.73
9/17/15,233.34
9/18/15,233.78
9/19/15,232.88
9/20/15,232.24
9/21/15,227.31
9/22/15,231.28
9/23/15,230.26
9/24/15,235.27
9/25/15,235.89
9/26/15,234.69
9/27/15,233.58
9/28/15,239.99
9/29/15,236.89
9/30/15,237.14
10/1/15,238.34
10/2/15,238.28
10/3/15,239.92
10/4/15,239.87
10/5/15,240.95
10/6/15,246.64
10/7/15,244.0
10/8/15,242.94
10/9/15,244.35
10/10/15,246.07
10/11/15,249.02
10/12/15,246.39
10/13/15,250.99
10/14/15,253.27
10/15/15,254.99
10/16/15,263.43
10/17/15,272.87
10/18/15,265.0
10/19/15,265.17
10/20/15,271.14
10/21/15,268.77
10/22/15,275.84
10/23/15,278.76
10/24/15,284.29
10/25/15,284.97
10/26/15,287.1
10/27/15,295.61
10/28/15,304.09
10/29/15,316.08
10/30/15,329.11
10/31/15,314.85
11/1/15,329.46
11/2/15,365.21
11/3/15,404.1
11/4/15,410.0
11/5/15,387.21
11/6/15,374.09
11/7/15,384.81
11/8/15,373.83
11/9/15,379.53
11/10/15,337.14
11/11/15,313.2
11/12/15,336.49
11/13/15,338.07
11/14/15,334.71
11/15/15,322.93
11/16/15,332.89
11/17/15,336.49
11/18/15,335.49
11/19/15,326.41
11/20/15,322.39
11/21/15,327.0
11/22/15,323.71
11/23/15,323.0
11/24/15,321.0
11/25/15,328.98
11/26/15,352.57
11/27/15,358.19
11/28/15,357.24
11/29/15,372.24
11/30/15,376.86
12/1/15,362.68
12/2/15,360.0
12/3/15,361.77
12/4/15,363.98
12/5/15,387.99
12/6/15,387.55
12/7/15,394.73
12/8/15,418.94
12/9/15,418.39
12/10/15,415.68
12/11/15,452.95
12/12/15,436.87
12/13/15,433.83
12/14/15,444.01
12/15/15,464.27
12/16/15,453.97
12/17/15,455.5
12/18/15,463.17
12/19/15,461.29
12/20/15,442.22
12/21/15,436.81
12/22/15,433.92
12/23/15,442.43
12/24/15,455.74
12/25/15,455.84
12/26/15,419.41
12/27/15,424.72
12/28/15,421.94
12/29/15,433.89
12/30/15,427.95
12/31/15,430.35
1/1/16,435.66
1/2/16,435.4
1/3/16,431.91
1/4/16,433.85
1/5/16,433.34
1/6/16,430.87
1/7/16,459.07
1/8/16,454.44
1/9/16,450.38
1/10/16,449.99
1/11/16,449.19
1/12/16,434.01
1/13/16,432.77
1/14/16,430.03
1/15/16,357.53
1/16/16,388.7
1/17/16,378.46
1/18/16,384.89
1/19/16,375.27
1/20/16,418.54
1/21/16,409.38
1/22/16,382.9
1/23/16,387.5
1/24/16,403.05
1/25/16,391.4
1/26/16,391.54
1/27/16,394.79
1/28/16,379.61
1/29/16,378.68
1/30/16,378.46
1/31/16,367.95
2/1/16,371.33
2/2/16,372.93
2/3/16,368.87
2/4/16,387.99
2/5/16,384.5
2/6/16,375.44
2/7/16,377.49
2/8/16,371.14
2/9/16,372.68
2/10/16,378.44
2/11/16,378.23
2/12/16,382.05
2/13/16,391.0
2/14/16,406.59
2/15/16,398.95
2/16/16,407.42
2/17/16,415.2
2/18/16,421.19
2/19/16,420.72
2/20/16,437.46
2/21/16,438.56
2/22/16,437.55
2/23/16,419.97
2/24/16,423.94
2/25/16,423.54
2/26/16,430.85
2/27/16,433.12
2/28/16,433.73
2/29/16,436.44
3/1/16,433.08
3/2/16,420.39
3/3/16,418.8
3/4/16,407.35
3/5/16,396.08
3/6/16,403.24
3/7/16,412.21
3/8/16,411.18
3/9/16,412.8
3/10/16,415.98
3/11/16,419.39
3/12/16,410.58
3/13/16,412.52
3/14/16,415.02
3/15/16,415.41
3/16/16,416.07
3/17/16,418.41
3/18/16,409.65
3/19/16,410.2
3/20/16,411.27
3/21/16,412.0
3/22/16,416.66
3/23/16,417.53
3/24/16,412.95
3/25/16,416.41
3/26/16,416.97
3/27/16,425.3
3/28/16,423.0
3/29/16,416.39
3/30/16,412.79
3/31/16,416.03
4/1/16,417.68
4/2/16,419.95
4/3/16,420.16
4/4/16,419.47
4/5/16,422.36
4/6/16,421.46
4/7/16,421.99
4/8/16,419.48
4/9/16,419.46
4/10/16,423.4
4/11/16,423.94
4/12/16,427.8
4/13/16,425.58
4/14/16,426.32
4/15/16,430.93
4/16/16,433.39
4/17/16,431.0
4/18/16,430.97
4/19/16,437.06
4/20/16,442.96
4/21/16,452.25
4/22/16,448.41
4/23/16,455.69
4/24/16,464.46
4/25/16,466.17
4/26/16,470.59
4/27/16,445.31
4/28/16,451.68
4/29/16,458.82
4/30/16,454.02
5/1/16,456.98
5/2/16,446.42
5/3/16,452.21
5/4/16,448.68
5/5/16,449.98
5/6/16,462.31
5/7/16,461.91
5/8/16,462.79
5/9/16,464.16
5/10/16,452.78
5/11/16,454.37
5/12/16,456.48
5/13/16,457.98
5/14/16,458.9
5/15/16,461.47
5/16/16,455.66
5/17/16,454.19
5/18/16,455.56
5/19/16,438.38
5/20/16,445.65
5/21/16,446.28
5/22/16,442.48
5/23/16,445.67
5/24/16,446.99
5/25/16,451.49
5/26/16,454.97
5/27/16,471.27
5/28/16,523.25
5/29/16,525.22
5/30/16,532.55
5/31/16,531.34
6/1/16,534.84
6/2/16,537.87
6/3/16,571.25
6/4/16,576.31
6/5/16,575.17
6/6/16,586.77
6/7/16,579.71
6/8/16,583.21
6/9/16,577.46
6/10/16,580.31
