date,eth_price
2020-08-02,368.23
2020-08-01,387.14
2020-07-31,346.51
2020-07-30,334.87
2020-07-29,317.82
2020-07-28,316.96
2020-07-27,321.80
2020-07-26,311.13
2020-07-25,305.32
2020-07-24,279.33
2020-07-23,275.34
2020-07-22,263.28
2020-07-21,245.53
2020-07-20,236.10
2020-07-19,239.01
2020-07-18,235.75
2020-07-17,232.75
2020-07-16,233.65
2020-07-15,238.62
2020-07-14,240.50
2020-07-13,239.73
2020-07-12,242.75
2020-07-11,239.20
2020-07-10,241.26
2020-07-09,242.02
2020-07-08,246.99
2020-07-07,239.25
2020-07-06,241.56
2020-07-05,227.98
2020-07-04,229.15
2020-07-03,225.12
2020-07-02,226.42
2020-07-01,230.95
2020-06-30,225.63
2020-06-29,227.87
2020-06-28,225.09
2020-06-27,221.06
2020-06-26,229.67
2020-06-25,232.56
2020-06-24,234.75
2020-06-23,243.20
2020-06-22,243.25
2020-06-21,228.13
2020-06-20,228.86
2020-06-19,229.11
2020-06-18,231.34
2020-06-17,233.88
2020-06-16,235.36
2020-06-15,230.93
2020-06-14,232.02
2020-06-13,238.22
2020-06-12,237.54
2020-06-11,230.71
2020-06-10,247.78
2020-06-09,243.82
2020-06-08,246.18
2020-06-07,244.56
2020-06-06,242.00
2020-06-05,240.23
2020-06-04,243.37
2020-06-03,244.52
2020-06-02,237.94
2020-06-01,247.97
2020-05-31,231.81
2020-05-30,243.63
2020-05-29,220.66
2020-05-28,220.18
2020-05-27,208.18
2020-05-26,201.00
2020-05-25,204.13
2020-05-24,199.97
2020-05-23,206.62
2020-05-22,207.35
2020-05-21,198.75
2020-05-20,209.99
2020-05-19,214.51
2020-05-18,214.87
2020-05-17,207.00
2020-05-16,200.51
2020-05-15,194.85
2020-05-14,203.30
2020-05-13,199.58
2020-05-12,189.84
2020-05-11,185.96
2020-05-10,187.78
2020-05-09,210.22
2020-05-08,211.45
2020-05-07,212.00
2020-05-06,199.04
2020-05-05,205.36
2020-05-04,206.61
2020-05-03,209.83
2020-05-02,213.96
2020-05-01,212.00
2020-04-30,206.22
2020-04-29,215.40
2020-04-28,196.55
2020-04-27,196.14
2020-04-26,197.35
2020-04-25,194.01
2020-04-24,187.58
2020-04-23,185.46
2020-04-22,182.72
2020-04-21,170.79
2020-04-20,170.40
2020-04-19,180.13
2020-04-18,187.45
2020-04-17,170.63
2020-04-16,172.31
2020-04-15,152.90
2020-04-14,158.45
2020-04-13,156.38
2020-04-12,158.73
2020-04-11,158.18
2020-04-10,157.86
2020-04-09,169.68
2020-04-08,173.00
2020-04-07,164.71
2020-04-06,171.06
2020-04-05,142.58
2020-04-04,144.01
2020-04-03,141.14
2020-04-02,141.30
2020-04-01,135.66
2020-03-31,132.86
2020-03-30,132.15
2020-03-29,125.24
2020-03-28,131.03
2020-03-27,131.74
2020-03-26,138.38
2020-03-25,136.07
2020-03-24,138.62
2020-03-23,136.02
2020-03-22,122.41
2020-03-21,132.58
2020-03-20,133.32
2020-03-19,135.43
2020-03-18,117.77
2020-03-17,116.06
2020-03-16,111.02
2020-03-15,124.35
2020-03-14,122.69
2020-03-13,133.99
2020-03-12,107.90
2020-03-11,194.58
2020-03-10,200.56
2020-03-09,202.85
2020-03-08,199.16
2020-03-07,237.32
2020-03-06,244.90
2020-03-05,228.45
2020-03-04,224.38
2020-03-03,223.94
2020-03-02,231.87
2020-03-01,217.99
2020-02-29,217.52
2020-02-28,226.93
2020-02-27,227.53
2020-02-26,224.30
2020-02-25,246.96
2020-02-24,265.65
2020-02-23,274.72
2020-02-22,261.64
2020-02-21,265.11
2020-02-20,257.39
2020-02-19,259.12
2020-02-18,282.26
2020-02-17,267.63
2020-02-16,259.99
2020-02-15,264.87
2020-02-14,285.25
2020-02-13,268.75
2020-02-12,265.58
2020-02-11,236.76
2020-02-10,222.95
2020-02-09,228.59
2020-02-08,223.23
2020-02-07,223.51
2020-02-06,213.16
2020-02-05,203.83
2020-02-04,188.93
2020-02-03,189.79
2020-02-02,188.50
2020-02-01,183.64
2020-01-31,179.91
2020-01-30,184.59
2020-01-29,173.86
2020-01-28,175.74
2020-01-27,170.27
2020-01-26,167.90
2020-01-25,160.44
